title	abstract	authors	year	url	identifiers	publisher	keywords	oai	doi	journal_title	journal_identifiers	relevance
Record and vPlay: Problem Determination with Virtual Replay Across Heterogeneous Systems	Application down time is one of the major reasons for revenue loss in the modern enterprise. While aggressive release schedules cause frail software to be released, application failures occurring in the field cost millions to the technical support organizations in personnel time. Since developers usually don't have direct access to the field environment for a variety of privacy and security reasons, problems are reproduced, analyzed and fixed in very different lab environments. However, the complexity and diversity of application environments make it difficult to accurately replicate the production environment. The indiscriminate collection of data provided by the bug reports often overwhelm or even mislead the developer. A typical issue requires time consuming rounds of clarifications and interactions with the end user, even after which the issue may not manifest. This dissertation introduces vPlay, a software problem determination system which captures software bugs as they occur in the field into small and self-contained recordings, and allows them to be deterministically reproduced across different operating systems and heterogeneous environments. vPlay makes two key advances over the state of the art. First, the recorded bug can be reproduced in a completely different operating system environment without any kind of dependency on the source. vPlay packages up every piece of data necessary to correctly reproduce the bug on any stateless target machine in the developer environment, without the application, its binaries, and other support data. Second, the data captured by vPlay is small, typically amounting to a few megabytes. vPlay achieves this without requiring changes to the applications, base kernel or hardware. vPlay employs a recording mechanism which provides data level independence between the application and its source environment by adopting a state machine model of the application to capture every piece of state accessed by the application. vPlay minimizes the size of the recording through a new technique called partial checkpointing, to efficiently capture the partial intermediate state of the application required to replay just the last few moments of its execution prior to the failure. The recorded state is saved as a partial checkpoint along with metadata representing the information specific to the source environment, such as call- ing convention used for the system calls on the source system, to make it portable across operating systems. A partial checkpoint is loaded by a partial checkpoint loader, which itself is designed to be portable across different operating systems. Partial checkpointing is combined with a logging mechanism, which monitors the application to identify and record relevant accessed state for root cause analysis and to record application's nondeterministic events. vPlay introduces a new type of virtualization abstraction called vPlay Container, to natively replay an application built for one operating system on another. vPlay Container relies on the self-contained recording produced by vPlay to decouple the application from the target operating system environment in three key areas. The application is decoupled from (1) the address space and its content by transparently fulfilling its memory accesses, (2) the instructions and the processor MMU structures such as segment descriptor tables through a binary translation technique designed specifically for user application code, (3) the operating system interface and its services by abstracting the system call interface through emulation and replay. To facilitate root cause analysis, vPlay Container integrates with a standard debugger to enable the user to set breakpoints and single step the replayed execution of the application to examine the contents of variables and other program state at each source line. We have implemented a vPlay prototype which can record unmodified Linux applications and natively replay them on different versions of Linux as well as Windows. Experiments with several applications including Apache and MySQL show that vPlay can reproduce real bugs and be used in production with modest recording overhead	Subhraveti, Dinesh Kumar	2012	https://core.ac.uk/download/pdf/161439487.pdf	oai:academiccommons.columbia.edu:10.7916/D8SQ96C7 doi:10.7916/D8SQ96C7 oai:oai:academiccommons.columbia.edu:10.7916/D8SQ96C7 10.7916/D8SQ96C7		Computer science		10.7916/D8SQ96C7			64%
∗Centro de Investigación en Tecnologı́as de la Información (CITIUS)	Abstract—Service Oriented Architectures and web service technology are becoming popular in recent years. As more web services can be used over the Internet, the need to find efficient algorithms for web services composition that can deal with large amounts of services becomes important. These algorithms must deal with different issues like performance, semantics or user restrictions. In this paper we present an A* algorithm which solves the problem of semantic input-output message structure matching for web service composition. Given a request, a service dependency graph with a subset of the original services from an external repository is dynamically generated. Then, the A * search algorithm is used to find a minimal composition that satisfies the user request. Moreover, in order to improve the performance, a set of dynamic optimization techniques has been implemented over the search process. A full experimental validation with eight different public repositories has been done showing a good performance as in all tests as the algorithm finds a valid solution with minimal number of services and execution path. Keywords-Heuristic search; A * algorithm; Web services com-position; I	Pablo Rodriguez-mier and Manuel Mucientes and Manuel Lama	2015	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.661.4875	oai:CiteSeerX.psu:10.1.1.661.4875 oai:oai:CiteSeerX.psu:10.1.1.661.4875							64%
Vulnerability in online social network profiles. A Framework for Measuring Consequences of Information Disclosure in Online Social Networks.	The increase in online social network (OSN) usage has led to personal details\udknown as attributes being readily displayed in OSN profiles. This can lead to the\udprofile owners being vulnerable to privacy and social engineering attacks which\udinclude identity theft, stalking and re identification by linking.\udDue to a need to address privacy in OSNs, this thesis presents a framework to\udquantify the vulnerability of a user¿s OSN profile. Vulnerability is defined as the\udlikelihood that the personal details displayed on an OSN profile will spread due\udto the actions of the profile owner and their friends in regards to information\uddisclosure.\udThe vulnerability measure consists of three components. The individual\udvulnerability is calculated by allocating weights to profile attribute values\uddisclosed and neighbourhood features which may contribute towards the\udpersonal vulnerability of the profile user. The relative vulnerability is the\udcollective vulnerability of the profiles¿ friends. The absolute vulnerability is the\udoverall profile vulnerability which considers the individual and relative\udvulnerabilities.\udThe first part of the framework details a data retrieval approach to extract\udMySpace profile data to test the vulnerability algorithm using real cases. The\udprofile structure presented significant extraction problems because of the\uddynamic nature of the OSN. Issues of the usability of a standard dataset\udincluding ethical concerns are discussed. Application of the vulnerability\udmeasure on extracted data emphasised how so called ¿private profiles¿ are not\udimmune to vulnerability issues. This is because some profile details can still be\uddisplayed on private profiles.\udThe second part of the framework presents the normalisation of the measure, in\udthe context of a formal approach which includes the development of axioms and\udvalidation of the measure but with a larger dataset of profiles. The axioms\udhighlight that changes in the presented list of profile attributes, and the\udattributes¿ weights in making the profile vulnerable, affect the individual\udvulnerability of a profile.\udiii\udValidation of the measure showed that vulnerability involving OSN profiles does occur and this provides a good basis for other researchers to build on the measure further. The novelty of this vulnerability measure is that it takes into account not just the attributes presented on each individual profile but features of the profiles¿ neighbourhood	Alim, Sophia	2011	https://core.ac.uk/download/pdf/9636893.pdf	oai:oai:bradscholars.brad.ac.uk:10454/5507 oai:bradscholars.brad.ac.uk:10454/5507	Department of Computing	Personal information disclosure, Data retrieval, Vulnerability, Measurement, Privacy and OSNs., Personal details in OSNs., Online social networks (OSN), Vulnerability algorithm, Identity theft					64%
Software Vulnerability vs. Critical Infrastructure- a Case Study of Antivirus Software	During the last decade, the realisation of how vulnerable critical infrastructures are due to their interdependencies has hit home with more gravity than ever. The abundance of vulnerabilities in the software that is widely used in crit-ical systems could have escalating consequences. In this paper, we used the PROTOS MATINE model to systemati-cally examine the scope of software systems used in critical infrastructure. Dependency analysis methods indicated an-tivirus software as a critical subject to study, as its use is mandated and as it processes data from malicious sources. We determined that antivirus software is by nature suscep-tible to various risks and has exhibited significant vulner-ability, but the issue is neither widely recognized nor re-ported. Awareness on the drawbacks of AV software should be spread among the planners of the critical infrastructures. Due to inherent risks, the suitability of antivirus software in critical systems should be reconsidered on a system-by-system basis	Juhani Eronen and Kati Karjalainen and Rauli Puuperä and Erno Kuusela and Kimmo Halunen and Marko Laakso and Juha Röning	2015	http://www.thinkmind.org/download.php?articleid%3Dsec_v2_n1_2009_8	oai:oai:CiteSeerX.psu:10.1.1.684.4234 oai:CiteSeerX.psu:10.1.1.684.4234		Vulnerabilities, critical infrastructure, de- pendency					64%
Minimizing User Vulnerability and Retaining Social Utility in Social Media ABSTRACT	Privacy and security are major concerns for many users of social media. When users share information (e.g., data and photos) with friends, they can make their friends vulnerable to security and privacy breach with dire consequences. In our recent work, we show that it is feasible to measure user vulnerability and reduce one’s vulnerability without changing the structure of a social networking site. The approach is to unfriend one’s most vulnerable friends. However, when such a vulnerable friend is also socially important, unfriending him would significantly reduce one’s own social status. In this work, we address the problem of vulnerability minimization with social utility constraints. We formally formulate the optimization problem, propose an approximation algorithm with a proven bound, and conduct empirical experiments with different forms of social utility on a large-scale Facebook dataset for performance evaluation and comparison	Pritam Gundecha	2012	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.221.5602	oai:CiteSeerX.psu:10.1.1.221.5602 oai:oai:CiteSeerX.psu:10.1.1.221.5602		J.4 [Social and Behavioral Sciences, Sociology General Terms Security, Theory, Experimentation Keywords Vulnerability, Social network, Privacy					63%
Minimizing User Vulnerability and Retaining Social Utility in Social Media ABSTRACT	Privacy and security are major concerns for many users of social media. When users share information (e.g., data and photos) with friends, they can make their friends vulnerable to security and privacy breach with dire consequences. In our recent work, we show that it is feasible to measure user vulnerability and reduce one’s vulnerability without changing the structure of a social networking site. The approach is to unfriend one’s most vulnerable friends. However, when such a vulnerable friend is also socially important, unfriending him would significantly reduce one’s own social status. In this work, we address the problem of vulnerability minimization with social utility constraints. We formally formulate the optimization problem, propose an approximation algorithm with a proven bound, and conduct empirical experiments with different forms of social utility on a large-scale Facebook dataset for performance evaluation and comparison	Pritam Gundecha	2013	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.295.2245	oai:CiteSeerX.psu:10.1.1.295.2245 oai:oai:CiteSeerX.psu:10.1.1.295.2245		Categories and Subject Descriptors H.2.7 [Information Systems, Security, integrity, and protection, J.4 [Social and Behavioral Sciences, Sociology General Terms Security, Theory, Experimentation Keywords Vulnerability, Social network, Privacy					63%
Using distributed version control systems to improve project management and collaboration	Although recent years have seen an increasing focus on collaboration within language documentation projects, there has not been a commensurate push to create software that allows project members to efficiently work together. While some software, such as SIL’s FieldWorks suite, does support limited multi-user capabilities, they are often inadequate for the needs of teams whose members are technologically or geographically separated from each other. As a result, projects must resort to workarounds that are either error-prone (e.g. trust-based file access restrictions) or massively redundant (e.g. repeatedly copying the entire project folder as a backup).Similar obstacles to collaborative efforts are found in software development, where projects often require developers in different locations to edit the same files concurrently. To enable such collaboration, software developers have created VERSION CONTROL SYSTEMS that can track, manage, and even undo every change made to a project. Traditionally, these systems use a client-server model that requires developers to connect to a network and then check files into and out of a centralized repository. Within the last decade, however, developers have begun to use DISTRIBUTED VERSION CONTROL SYSTEMS (DVCS), which use a decentralized peer-to-peer model rather than a client-server one. Instead of checking files out of a centralized repository, developers using DVCS typically clone a whole repository onto their own computer, make changes to the clone, and then later merge it back into the original repository. This distributed design allows for more flexible project structures, while still retaining the major benefits of traditional version control systems, such as file histories and the ability to roll back undesirable changes.The current presentation examines how DVCS such as Mercurial (http://www.git-scm.com/),Git (http://mercurial.selenic.com/), and Chorus (http://projects.palaso.org/projects/chorus) can be used to manage data for language documentation projects. Two features of DVCS are especially beneficial in this regard. First, DVCS tools are generally data agnostic, which allows projects to continue using their preferred linguistics software (e.g. Toolbox or FLEx), while still gaining the aforementioned benefits of version control systems. Second, the peer-to-peer structure of DVCS allows project members to continue collaborating even in the absence of a common network. DVCS therefore helps satisfy the recent call for more collaboration within language documentation, without requiring the development of entirely new linguistics software suites	Chauvette, Benjamin	2013	https://core.ac.uk/download/pdf/10599990.pdf	oai:scholarspace.manoa.hawaii.edu:10125/26109 oai:oai:scholarspace.manoa.hawaii.edu:10125/26109							63%
SCoP : smartphone energy saving by merging push services in FOG computing	25th IEEE/ACM International Symposium on Quality of Service, IWQoS 2017, Vilanova i la Geltru, Spain, 14-16 June 2017Energy saving solutions on smartphone devices can greatly extend a smartphone's lasting time. However, today's push services require keep-alive connections to notify users of incoming messages, which cause costly energy consuming and drain a smartphone's battery quickly in cellular communications. Most keep-alive connections force smartphones to frequently send heartbeat packets that create additional energy-consuming radio-tails. No previous work has addressed the high-energy consumption of keep-alive connections in smartphones push services. In this paper, we propose Single Connection Proxy (SCoP) system based on fog computing to merge multiple keep-alive connections into one, and push messages in an energy-saving way. The new design of SCoP can satisfy a predefined message delay constraint and minimize the smartphone energy consumption for both real-time and delay-tolerant apps. SCoP is transparent to both smartphones and push servers, which does not need any changes on today's push service framework. Theoretical analysis shows that, given the Poisson distribution of incoming messages, SCoP can reduce the energy consumption by up to 50%. We implement SCoP system, including both the local proxy on the smartphone and remote proxy on the 'Fog'. Experimental results show that the proposed system consumes 30% less energy than the current push service for real-time apps, and 60% less energy for delay-tolerant apps.Department of Computing2016-2017 > Academic research: refereed > Refereed conference paperbcw	Gao, S and Peng, Z and Xiao, B and Xiao, Q and Song, Y	2017	http://hdl.handle.net/10397/71788	oai:ira.lib.polyu.edu.hk:10397/71788 doi:10.1109/IWQoS.2017.7969114 10.1109/IWQoS.2017.7969114 oai:oai:ira.lib.polyu.edu.hk:10397/71788				10.1109/IWQoS.2017.7969114			63%
Integrated Approach to a Resilient City: Associating Social, Environmental and Infrastructure Resilience in its Whole	Rising complexity, numbers and severity of natural and manmade disasters enhance the importance of reducing vulnerability, or on contrary – increasing resilience, of different kind of systems, including those of social, engineering (infrastructure), and environmental (ecological) nature. The goal of this research is to explore urban resilience as an integral system of social, environmental, and engineering resilience. This report analyses the concepts of each kind of resilience and identifies key factors influencing social, ecological, and infrastructure resilience discussing how these factors relate within urban systems. The achievement of resilience of urban and regional systems happens through the interaction of the different elements (social, psychological, physical, structural, and environmental, etc.); therefore, resilient city could be determined by synergy of resilient society, resilient infrastructure and resilient environment of the given area. \udBased on literature analysis, the current research provides some insights on conceptual framework for assessment of complex urban systems in terms of resilience. To be able to evaluate resilience and define effective measures for prevention and risk mitigation, and thereby strengthen resilience, we propose to develop an e-platform, joining risk parameters’ Monitoring Systems, which feed with data Resiliency Index calculation domain. Both these elements result in Multirisk Platform, which could serve for awareness and shared decision making for resilient people in resilient city	Birutė PITRĖNAITĖ-ŽILĖNIENĖ and Fabrizio TORRESI	2014	https://doaj.org/toc/2067-3795	oai:doaj.org/article:37e44f947efb4747baa0ba1e0f740e00 oai:oai:doaj.org/article:37e44f947efb4747baa0ba1e0f740e00	Academy of Economic Studies (ASE)	resilience, resilient city, urban system, multirisk platform, History of scholarship and learning. The humanities, AZ20-999, Social sciences (General), H1-99				issn:2067-3795, 2067-3795	63%
Measuring the Resiliency of the Manhattan Points of Entry in the Face of Severe Disruption	<b>Problem statement:</b> Resilient infrastructure systems are able to continue to provide the&#13; expected service levels following disruptive events. Implementing resiliency in infrastructure systems&#13; requires knowledge of the current resiliency of the system and a methodology by which different&#13; resiliency strategies can be evaluated. In the transportation infrastructure in particular, disruptions&#13; cause delays, which will in turn incur substantial economic losses and environmental damages.&#13; <b>Approach:</b> The Networked Infrastructure Resiliency framework (NIRA) is proposes to assess the&#13; resiliency of the road network that connects Manhattan in New York City to the rest of the regions.&#13; The framework proposes to create a network model of the system onto which hypothetical disruptions&#13; can be introduced and then to measure resiliency as the impact of disruptions on the performance&#13; measures of the system. One of the key performance measures of the transportation infrastructure&#13; system is the travel time; hence, the base resiliency of the system is measured as the ratio of the travel&#13; time preceding a disruption to the travel time following a disruption. Different resiliency strategies that&#13; improve the systems resiliency can be evaluated through the use of decision tree analysis. <b>Results:</b>&#13; The proposed NIRA framework is a novel approach for assessing the resiliency of networked&#13; infrastructure system by measuring the impact of disruptions on the systems performance measures. In&#13; road transportation networks, such as that connecting Manhattan entry points, resiliency is achievable&#13; through reducing the vulnerability of the system and increasing its adaptive capacity. <b>Conclusion:</b> One&#13; vulnerability reduction strategy is the clever assignment of vehicles to other routes in the network. The&#13; adaptive capacity of the system is enhanced through the deployment of other parallel systems such as ferries	Mayada Omer and Ali Mostashari and Roshanak Nilchiani	2011	https://core.ac.uk/display/27802921	10.3844/ajeassp.2011.153.161 oai:doaj.org/article:7e320580f2dd46aca81b1e0b65eea49e doi:10.3844/ajeassp.2011.153.161 oai:oai:doaj.org/article:7e320580f2dd46aca81b1e0b65eea49e	Science Publications	</keyword><keyword>Manhattan points, Resiliency infrastructure systems, decision trees		10.3844/ajeassp.2011.153.161		issn:1941-7020, url:http://doaj.org/search?source=%7B%22query%22%3A%7B%22bool%22%3A%7B%22must%22%3A%5B%7B%22term%22%3A%7B%22id%22%3A%227e320580f2dd46aca81b1e0b65eea49e%22%7D%7D%5D%7D%7D%7D, 1941-7039, issn:1941-7039, 1941-7020	63%
Protecting SNMP Through MarketNet	As dependency on information technology becomes more critical so does the need for network computer security. Because of the distributed nature of networks, large-scale information systems are highly vulnerable to negative elements such as intruders and attackers. The types of attack on a system can be diverse and from different sources. Some of the factors contributing to creating an insecure system are the relentless pace of technology, the need for information processing, and the heterogeneity of hardware and software. In addition to these insecurities, the growth and success of e-commerce make networks a desirable target for intruders to steal credit card numbers, bank account balances, and other valuable information. This paper looks at two different security technologies, SNMP v3 and MarketNet, their architectures and how they have been developed to protect network resources and services, such as, internet applications, devices, and other services, against attacks	Jackowski, Marcela	2002	https://core.ac.uk/download/pdf/161437175.pdf	doi:10.7916/D8Z61185 10.7916/D8Z61185 oai:oai:academiccommons.columbia.edu:10.7916/D8Z61185 oai:academiccommons.columbia.edu:10.7916/D8Z61185	Department of Computer Science, Columbia University	Computer science		10.7916/D8Z61185			63%
Digital Rights Enforcement for Pervasive Computing Applications	Increasingly, application software is expanding from the desktop into mobile application environments,such as handset devices and embedded systems which are more limited in resources and volatile in theirnetwork connectivity. An integrated architecture that can protect intellectual property for both typesof environments should offer the promise of reduced software maintenance costs. Software licensing isan existing mechanism by which specific license agreements are enforced between a software providerand the users of the software. Usually, the license terms are activated by a unique activation codedelivered to the user. Digital Rights Management (DRM) is a more recent development that coversthe description, identification, trading, protection, monitoring, and tracking of all forms of rights usageover both tangible and intangible assets. This includes the management of Rights Holder relationshipswith the help of special purpose rights expression languages (REL). Both, software licensing and DRMapproaches have failed to address the new challenges posed by protecting intellectual property for mobileapplication software. This thesis, therefore, proposes a solution to merge the best of both approaches forthe special case of application software rights enforcement. It is targeted to mobile computing platformsto meet the challenges in that area.Existing distributed software licensing systems were originally designed for fixed network applicationsand typically assume the immediate availability of a network connection to verify and validate rights witha rights server. Yet, this approach is not feasible for mobile environments, because of occasional connectednetwork characteristics. Moreover, software licensing systems do not implement an existing standard forthe description of license terms which cause interoperability issues with asset management software. Thefocus of the DRM community to date has been on rights management for media content, which hasleft many issues unresolved for the specific case of rights management for application software.Thedifficulties of developing an all-encompassing DRM solution for the media industry has left standards basedwork on the enforcement of rights for application software under-specified. This is mainly becausethe media industry requires a broad consensus of hardware and software manufacturers to implementan agreed standard, whereas application software does not require runtime support of the underlyinghardware or any third party applications.The existing rights expression languages supported by DRM systems lack the support for the explicitspecification of application-level features. Existing usage-based restrictions on digital work usuallyinclude display, print, play, and execute permissions. Also, the assumption of immediate or constantnetwork connectivity to a rights management server cannot be made for the validation and enforcementof rights on a pervasive computing platform, because factors such as network unavailability have to beanticipated. Therefore, the introduction of more flexible rights models for occasionally connected mobileenvironments is required. This is achieved through the specification and implementation of novel rightsmodels, such as audit-based and feature-based models.The introduction of these flexible rights models poses new challenges to designing an enforcementarchitecture for pervasive environments. The enforcement architecture has to deal with resource constraintson mobile devices, such as limited memory and processor power, while at the same time providean extensible set of APIs so that it can be adapted for different computing platforms.This thesis proposes a solution to enforce and deliver application software rights implemented ina generic enforcement framework, based on an extended version of the Open Digital Rights Language(ODRL), called PARMA REL, that accounts for the characteristics of applications in pervasive environments.In particular, the architecture supports the enforcement of audit-based and feature-based rightsmodels. While the architecture in this thesis has specific support for mobile environments, it has alsobeen designed to operate in a fixed network environment. A further contribution of this thesis is topresent a pervasive application rights enforcement framework which does not make any assumptions onthe target platform by basing the design on the dependency inversion and Hollywood principles. Thearchitecture is designed in a way that decouples functional and rights enforcement logic. It supports theassociation of rights with application-level features by leveraging aspect-oriented software engineeringtechniques to weave the enforcement as an orthogonal service into any existing J2ME, J2SE, or J2EEapplication. This makes it possible to restrict access to certain modules at runtime. Developer supportis provided by tools to generate aspects based on the rights description and the target platform. Furthermore,a MDA-oriented development process is introduced to cover the generation and weaving of rightsinto the application in a non-intrusive manner.Consequently, the rights models designed for pervasive computing environments combined with theflexible enforcement architecture enable the enforcement of rights of applications in new, sophisticatedand standard-compliant ways. The enforcement architecture is evaluated with respect to the abilityto adapt to different platforms, to operate in resource-constrained environments, and to guard againstpotential attacks. Also the execution and runtime overhead of the enforcement logic is evaluated andthe architecture is compared with existing enforcement architectures. The enforcement architecture isimplemented for two platforms, J2ME and J2SE	Dahlem, Dominik	2005	http://hdl.handle.net/2262/897	http://www.rian.ie/90622/		Computer Science					63%
Program slicing in the presence of database state	Program slicing has long been recognised as a valuable technique for supporting the software maintenance process. However, many programs operate over some kind of external state, as well as the internal program state. Arguably, the most significant form of external state is that used to store data associated with the application, for example, in a database management system. We propose an approach to supporting slicing over both program and database state, which requires the introduction of two new forms of data dependency into the standard program dependency graph. Our method expands the usefulness of program slicing techniques to the considerable number of database application programs that are being maintained within industry and science today	Willmor, D. and Embury, S. M. and Shao, Jianhua	2004	http://dx.doi.org/10.1109/ICSM.2004.1357833	oai:oai:http://orca.cf.ac.uk:45517 oai:http://orca.cf.ac.uk:45517	IEEE Computer Society	QA75					63%
CLIENT DEPENDENCY AND DONOR DEPENDENCY:  AMERICAN ARMS TRANSFERS TO THE HORN OF AFRICA, 1953-1986 (ETHIOPIA, ASSISTANCE, SOMALIA, MILITARY)	The power (influence) relationship underlying interaction between arms suppliers and arms recipients has been evolving throughout the post-World War II era due to the rapid diffusion of military resources to Third World nations. Because supplier-recipient relations are at times marred by conflict one must consider under what conditions an arms supplier will be able to wield influence over, or resist the pressures of its client states, and vice versa.^    This dissertation will propose two models--client dependency and donor dependency--which challenge the traditional approach of viewing arms transfers as a mutual exchange free of conflict and involving minimal costs and maximum benefits for both supplier and recipient. These two models will be applied to eight decision points concerning military relations between the United States and the two principal antagonists in the Horn of Africa--Ethiopia and Somalia. Through the years the military connection between Washington and the governments of Ethiopia and Somalia has been based upon an exchange of arms for bases, wherein these client states have typically tried to raise the ante (or rent) on the United States. In order to be able to explain \u27who got what and at what price\u27 one must examine the external, internal, and structural constraints which promoted or inhibited each side\u27s freedom of action and in turn affected their relative bargaining strength.^    This study suggests that donor dependency may increase over time as foreign policymaking organizations develop institutional stakes in, and establish routine procedures and working assumptions for dealing with recipient states. The absence of high level global competition between superpowers or the presence of domestic conflict over policy toward a client government may decrease the degree of donor dependency. Client dependency may increase as a result of internal or regional conflict. It may be reinforced or undermined by changes in the financial terms by which arms are transferred, the number of weapons sources available to a client state, and the degree of political or ideological compatibility between the supplier and recipient governments. 	LEFEBVRE, JEFFREY ALAN	1986	http://gateway.proquest.com/openurl?url_ver=Z39.88-2004	oai:opencommons.uconn.edu:dissertations-4816 oai:oai:opencommons.uconn.edu:dissertations-4816	OpenCommons@UConn	Political Science, General					63%
Tradeoffs and entanglements among sustainability dimensions: the case of accessibility as a missing pillar of sustainable mobility policies in Italy	This article analyzes the tradeoffs between the environmental and social dimensions in sustainable mobility policies. We focus on the Italian context, where car dependency is a particularly prominent feature of the transportation system. During the past decade, many local administrations have promoted policies to foster more “sustainable mobility” as a way to manage congestion and reduce environmental pollution. However, these initiatives have often missed an important sustainability pillar: improving the accessibility of the most vulnerable to economic and social resources. This issue may have implications for social justice because access to mobility is an important dimension of inequality. A proposed framework identifies some possible tradeoffs related to sustainable mobility policies, concerning medium- to long-range mobility and short-range mobility. The article argues that, paradoxically, policies fostering mobility may lead to environmental pollution (e.g., low cost airlines), and that policies to contain the environmental impacts of mobility may harm social justice (e.g., environmental taxation) in the absence of strong promotion of collective transportation. Finally, we analyze possible solutions to reach sustainable accessibility	Roberta Cucca and Enrico Maria Tacchi	2012	https://core.ac.uk/display/27360249	oai:oai:doaj.org/article:46dcf1ba5969480b93dd378da147a3d6 oai:doaj.org/article:46dcf1ba5969480b93dd378da147a3d6	CSA, NBII	mobility, transportation, travel, public policy, environmental impact, civil rights, public access, pollution control				url:http://doaj.org/search?source=%7B%22query%22%3A%7B%22bool%22%3A%7B%22must%22%3A%5B%7B%22term%22%3A%7B%22id%22%3A%2246dcf1ba5969480b93dd378da147a3d6%22%7D%7D%5D%7D%7D%7D, issn:1548-7733, 1548-7733	62%
Complexity Perception - model development and analysis of two technical platform projects in the mobile phones industry	This paper shows that underlying parameters of perceived complexity in the development of a technical platform in the mobile telecommunications industry can be presented in a model consisting of four parameters, divided on three levels in the projects. The parameters are the number of interrelated parts, type of dependency among these parts, uncertainty in goals, and uncertainty in methods. These complexity parameters can further be found on the different levels: external organization, internal organization, and product.The study also shows that these underlying parameters come into play differently in different settings; e.g. how these parameters are perceived is highly dependent on thespecific situation. The settings analyzed in this paper concern the two technical platform projects of mobile phones at Ericsson Communication Systems (ECS), Sweden	Dawidson, Ola and Karlsson, Martin and Trygg, Lars	2004	http://publications.lib.chalmers.se/publication/2452-complexity-perception-model-development-and-analysis-of-two-technical-platform-projects-in-the-mobil	oai:publications.lib.chalmers.se:2452 oai:oai:publications.lib.chalmers.se:2452		Complexity perception, complexity management, project complexity					62%
Real-time QoS monitoring from the end user perspective in large scale social networks	Social networking (SN) activities account for a major fraction of the time that internet users collectively spend on the web and they represent a valuable source of information and services. The SocIoS project defined an API that enables the aggregation of data and functionality of underlying SN services (SNS) APIs and allows their combination, so to build new application workflows and/or to complement existing ones. While this scheme provides SN users with a tool that has a dramatic potential in terms of productivity, it also introduces a dependency on external SNS, over which the SocIoS API end user has limited control. In this context, the availability of a dependable (i.e., unbiased, reliable, and timely) facility for continuous monitoring of the QoS being actually delivered by external SNS is thus of paramount importance. Such a facility is implemented by the QoS-MONaaS component, a portable architecture developed within the context of the SRT-15 FP7 project	Coppolino, Luigi and D'Antonio, Salvatore and Romano, Luigi and Aisopos, Fotis and Tserpes, Konstantinos	2017	http://www.inderscience.com/browse/index.php?journalID=125	oai:ricerca.uniparthenope.it:11367/59243 doi:10.1504/IJCSE.2017.082875 oai:oai:ricerca.uniparthenope.it:11367/59243 10.1504/IJCSE.2017.082875		QoS monitoring, SLA monitoring, Social networks, Software, Modeling and Simulation, Hardware and Architecture, Computational Theory and Mathematics, Computational Mathematics		10.1504/IJCSE.2017.082875			62%
Shadows of Stuxnet: recommendations for U.S. policy on critical infrastructure cyber defense derived from the Stuxnet attack	Approved for public release; distribution is unlimitedIn June 2012, the worldwide cyber security landscape changed when the presence of a new and sophisticated malware, later dubbed Stuxnet, was discovered in the computers of an Iranian nuclear facility. The malware was a cyber weapon, programmed to destroy the industrial machinery utilized for uranium enrichment. Stuxnet was soon dissected and diagnosed as a pioneering and politically motivated cyber attack that successfully infiltrated a high-security, government-run critical infrastructure and destroyed its physical property with computer code. The potential consequences of a similar attack on vulnerable U.S. critical infrastructures could be devastating. This thesis begins with a review of the evolution of U.S. policy related to the cyber defense of critical infrastructures. It then examines the critical infrastructure sectors within the United States, its dependency on computer technology, and the potential consequences of cyber attacks. A detailed case study of the Stuxnet attack follows, along with an analysis of the lessons learned from Stuxnet. The thesis concludes with specific policy improvement recommendations for the United States under three major themes: enhancing national unity of effort, expansion of cyber security coordination between the private and government sectors, and incentivizing private-sector compliance with best practices in cyber security.Chief of Homeland Security, Jacksonville Sheriff’s Office, Florid	Lendvay, Ronald L.	2016	https://core.ac.uk/download/pdf/36740619.pdf	oai:oai:calhoun.nps.edu:10945/48548 oai:calhoun.nps.edu:10945/48548	Monterey, California: Naval Postgraduate School	Cyber Emergency Response Team (CERT), critical infrastructure (CI), cyber security, distributed control systems (DCS), distributed denial of service (DDoS), executive order (EO), industrial control systems (ICS), information technology (IT), National Institute of Standards and Technology (NIST), presidential decision directive (PDD), Programmable Logic Controller (PLC), Supervisory Control and Data Acquisition (SCADA)					62%
Reconstructing software architecture for j2ee web applications	In this paper we describe our approach to reconstructing the software architecture of J2EE web applications. We use the Siemens Four Views approach, separating the architecture into conceptual, module, execution, and code views. We paid particular attention to the dependencies in the implementation, which led to two results. One is the distinction between a traditional usage dependency and a more superficial “knows” dependency, where one module knows of another by type name but nothing else. Another is the recognition of important but implicit dependencies in web applications, between a client page formatting a request and a module interpreting the request. We make these explicit as “logical interfaces. ” Using separate views improves our ability to describe these architectures, and we provide a scenario showing how it helps a developer understand the impact of changes to the application. Although we have not yet developed tools to automate such a reconstruction, this paper provides a critical first step in describing what should be present in an architecture description, and how this information can be deduced from the implementation. 	Minmin Han and Christine Hofmeister and Robert L. Nord	2003	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.468.1204	oai:CiteSeerX.psu:10.1.1.468.1204 oai:oai:CiteSeerX.psu:10.1.1.468.1204	IEEE Computer Society						62%
